02/10/2025,10:46am,Pump Off,
02/10/2025,11:30am,Pump On,
04/09/2025,11:27am,Pump Off,
04/09/2025,11:29am,Pump On,
04/09/2025,11:41am,Pump Off,
04/09/2025,11:43am,Pump On,
04/09/2025,11:43am,Pump Off,
04/09/2025,11:43am,Pump On,
04/09/2025,11:43am,Pump Off,
04/09/2025,11:44am,Pump On,
04/09/2025,11:44am,Pump Off,
04/09/2025,11:44am,Pump On,
04/09/2025,11:47am,Pump Off,
04/09/2025,11:47am,Pump On,
04/09/2025,11:47am,Pump Off,
04/09/2025,11:49am,Pump On,
04/09/2025,11:49am,Pump Off,
04/09/2025,11:49am,Pump On,
04/09/2025,11:49am,Pump Off,
04/09/2025,11:49am,Pump On,
04/09/2025,11:58am,Pump Off,
04/09/2025,11:58am,Pump On,
04/09/2025,11:58am,Pump Off,
04/09/2025,11:59am,Pump On,
04/09/2025,11:59am,Pump Off,
04/09/2025,11:59am,Pump On,
04/09/2025,12:09pm,Pump Off,
04/09/2025,12:09pm,Pump On,
04/09/2025,02:59pm,Pump Off,
04/09/2025,02:59pm,Pump On,
04/09/2025,03:01pm,Pump Off,
04/09/2025,03:01pm,Pump On,
04/09/2025,03:13pm,Pump Off,
04/09/2025,03:13pm,Pump On,
04/09/2025,03:19pm,Pump Off,
04/09/2025,03:21pm,Pump On,
04/09/2025,04:15pm,Pump Off,
